metric,split,value_pct,n,train_set,test_set,model,seed,front_end,score_direction,git_commit,utc
eer,cross_dataset,68.63337424085087,31779,asvspoof19_la_train,in_the_wild,xgboost,42,640b0644ae,higher=bonafide,93b6cfe+dirty,2026-09-05T13:25:41+00:00
eer,cross_dataset,70.85308056882738,31779,asvspoof19_la_train,in_the_wild,lightgbm,42,640b0644ae,higher=bonafide,93b6cfe+dirty,2026-09-05T13:25:41+00:00
eer,cross_dataset,42.52708192283716,31779,asvspoof19_la_train,in_the_wild,catboost,42,640b0644ae,higher=bonafide,93b6cfe+dirty,2026-09-05T13:25:41+00:00
eer,cross_dataset,58.20074475276198,31779,asvspoof19_la_train,in_the_wild,ensemble,42,640b0644ae,higher=bonafide,93b6cfe+dirty,2026-09-05T13:25:42+00:00
