metric,split,value_pct,n,train_set,test_set,model,seed,front_end,score_direction,git_commit,utc
eer,dev_known_attacks,7.2524219590838905,24844.0,asvspoof19_la_train,asvspoof19_la_dev,catboost,42,640b0644ae,higher=bonafide,93b6cfe,2026-09-05T13:25:32+00:00
eer,eval_unknown_attacks,33.626060549242,71237.0,asvspoof19_la_train,asvspoof19_la_eval,catboost,42,640b0644ae,higher=bonafide,93b6cfe,2026-09-05T13:25:33+00:00
eer,eval_attack_A07,0.32560032559316293,,asvspoof19_la_train,asvspoof19_la_eval,catboost,42,640b0644ae,higher=bonafide,93b6cfe,2026-09-05T13:25:33+00:00
eer,eval_attack_A08,3.820530251529558,,asvspoof19_la_train,asvspoof19_la_eval,catboost,42,640b0644ae,higher=bonafide,93b6cfe,2026-09-05T13:25:33+00:00
eer,eval_attack_A09,5.921855921894847,,asvspoof19_la_train,asvspoof19_la_eval,catboost,42,640b0644ae,higher=bonafide,93b6cfe,2026-09-05T13:25:34+00:00
eer,eval_attack_A10,52.37253569000679,,asvspoof19_la_train,asvspoof19_la_eval,catboost,42,640b0644ae,higher=bonafide,93b6cfe,2026-09-05T13:25:34+00:00
eer,eval_attack_A11,39.58078958079921,,asvspoof19_la_train,asvspoof19_la_eval,catboost,42,640b0644ae,higher=bonafide,93b6cfe,2026-09-05T13:25:34+00:00
eer,eval_attack_A12,56.68252889191044,,asvspoof19_la_train,asvspoof19_la_eval,catboost,42,640b0644ae,higher=bonafide,93b6cfe,2026-09-05T13:25:34+00:00
eer,eval_attack_A13,58.60805860802849,,asvspoof19_la_train,asvspoof19_la_eval,catboost,42,640b0644ae,higher=bonafide,93b6cfe,2026-09-05T13:25:35+00:00
eer,eval_attack_A14,27.60027192386132,,asvspoof19_la_train,asvspoof19_la_eval,catboost,42,640b0644ae,higher=bonafide,93b6cfe,2026-09-05T13:25:35+00:00
eer,eval_attack_A15,32.508497620672834,,asvspoof19_la_train,asvspoof19_la_eval,catboost,42,640b0644ae,higher=bonafide,93b6cfe,2026-09-05T13:25:35+00:00
eer,eval_attack_A16,0.8140008139800673,,asvspoof19_la_train,asvspoof19_la_eval,catboost,42,640b0644ae,higher=bonafide,93b6cfe,2026-09-05T13:25:36+00:00
eer,eval_attack_A17,28.754578754630355,,asvspoof19_la_train,asvspoof19_la_eval,catboost,42,640b0644ae,higher=bonafide,93b6cfe,2026-09-05T13:25:36+00:00
eer,eval_attack_A18,59.17063222297756,,asvspoof19_la_train,asvspoof19_la_eval,catboost,42,640b0644ae,higher=bonafide,93b6cfe,2026-09-05T13:25:36+00:00
eer,eval_attack_A19,0.6512006511846826,,asvspoof19_la_train,asvspoof19_la_eval,catboost,42,640b0644ae,higher=bonafide,93b6cfe,2026-09-05T13:25:36+00:00
eer,dev_known_attacks,7.037136706227955,24844.0,asvspoof19_la_train,asvspoof19_la_dev,ensemble,42,640b0644ae,higher=bonafide,93b6cfe,2026-09-05T13:25:37+00:00
eer,eval_unknown_attacks,33.37872953265067,71237.0,asvspoof19_la_train,asvspoof19_la_eval,ensemble,42,640b0644ae,higher=bonafide,93b6cfe,2026-09-05T13:25:37+00:00
eer,eval_attack_A07,0.18315018315728124,,asvspoof19_la_train,asvspoof19_la_eval,ensemble,42,640b0644ae,higher=bonafide,93b6cfe,2026-09-05T13:25:38+00:00
eer,eval_attack_A08,4.0244731475172095,,asvspoof19_la_train,asvspoof19_la_eval,ensemble,42,640b0644ae,higher=bonafide,93b6cfe,2026-09-05T13:25:38+00:00
eer,eval_attack_A09,5.779405779332543,,asvspoof19_la_train,asvspoof19_la_eval,ensemble,42,640b0644ae,higher=bonafide,93b6cfe,2026-09-05T13:25:38+00:00
eer,eval_attack_A10,51.87220187229777,,asvspoof19_la_train,asvspoof19_la_eval,ensemble,42,640b0644ae,higher=bonafide,93b6cfe,2026-09-05T13:25:39+00:00
eer,eval_attack_A11,36.682528891910124,,asvspoof19_la_train,asvspoof19_la_eval,ensemble,42,640b0644ae,higher=bonafide,93b6cfe,2026-09-05T13:25:39+00:00
eer,eval_attack_A12,56.8172568173748,,asvspoof19_la_train,asvspoof19_la_eval,ensemble,42,640b0644ae,higher=bonafide,93b6cfe,2026-09-05T13:25:39+00:00
eer,eval_attack_A13,60.06798096532936,,asvspoof19_la_train,asvspoof19_la_eval,ensemble,42,640b0644ae,higher=bonafide,93b6cfe,2026-09-05T13:25:39+00:00
eer,eval_attack_A14,27.146927146765602,,asvspoof19_la_train,asvspoof19_la_eval,ensemble,42,640b0644ae,higher=bonafide,93b6cfe,2026-09-05T13:25:39+00:00
eer,eval_attack_A15,31.37973137967112,,asvspoof19_la_train,asvspoof19_la_eval,ensemble,42,640b0644ae,higher=bonafide,93b6cfe,2026-09-05T13:25:40+00:00
eer,eval_attack_A16,0.8140008138958373,,asvspoof19_la_train,asvspoof19_la_eval,ensemble,42,640b0644ae,higher=bonafide,93b6cfe,2026-09-05T13:25:40+00:00
eer,eval_attack_A17,29.52787952780593,,asvspoof19_la_train,asvspoof19_la_eval,ensemble,42,640b0644ae,higher=bonafide,93b6cfe,2026-09-05T13:25:40+00:00
eer,eval_attack_A18,61.237253569000686,,asvspoof19_la_train,asvspoof19_la_eval,ensemble,42,640b0644ae,higher=bonafide,93b6cfe,2026-09-05T13:25:40+00:00
eer,eval_attack_A19,0.6105006105338551,,asvspoof19_la_train,asvspoof19_la_eval,ensemble,42,640b0644ae,higher=bonafide,93b6cfe,2026-09-05T13:25:41+00:00
